epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,459.874,0.37947,0.35086,0.27438,0.7811,0.99965,1,0.995,0.94748,0.99965,1,0.995,0.66064,0.31261,0.23872,0.21619,0.80522,0.0005546,0.0005546,0.0005546
75,466.122,0.3742,0.35854,0.2699,0.77976,0.99965,1,0.995,0.94889,0.99965,1,0.995,0.6595,0.30564,0.28434,0.21484,0.80383,0.0005348,0.0005348,0.0005348
76,471.734,0.37619,0.37332,0.27042,0.78195,0.99964,1,0.995,0.95018,0.99964,1,0.995,0.66467,0.31082,0.24904,0.20706,0.80401,0.000515,0.000515,0.000515
77,478.205,0.38103,0.36209,0.27439,0.78253,0.99965,1,0.995,0.9293,0.99965,1,0.995,0.67013,0.35628,0.29328,0.21432,0.80874,0.0004952,0.0004952,0.0004952
78,484.041,0.3765,0.35141,0.26929,0.77936,0.99965,1,0.995,0.96043,0.99965,1,0.995,0.65699,0.29591,0.24301,0.19291,0.80221,0.0004754,0.0004754,0.0004754
79,490.007,0.38141,0.3378,0.27164,0.78036,0.99967,1,0.995,0.94788,0.99967,1,0.995,0.66281,0.32031,0.25744,0.20236,0.80505,0.0004556,0.0004556,0.0004556
80,496.286,0.36675,0.34403,0.26459,0.78,0.99966,1,0.995,0.95638,0.99966,1,0.995,0.65702,0.29711,0.25956,0.19912,0.80228,0.0004358,0.0004358,0.0004358
81,501.725,0.37564,0.34983,0.2697,0.77984,0.99965,1,0.995,0.93331,0.99965,1,0.995,0.68115,0.34277,0.25148,0.20754,0.80598,0.000416,0.000416,0.000416
82,508.241,0.35226,0.35394,0.25892,0.78024,0.99967,1,0.995,0.95483,0.99967,1,0.995,0.67104,0.2928,0.28068,0.19728,0.80313,0.0003962,0.0003962,0.0003962
83,513.725,0.36909,0.3574,0.26751,0.782,0.99968,1,0.995,0.95294,0.99968,1,0.995,0.67811,0.31061,0.28307,0.2002,0.80459,0.0003764,0.0003764,0.0003764
84,520.159,0.36204,0.36223,0.25895,0.78155,0.99968,1,0.995,0.94572,0.99968,1,0.995,0.66925,0.34063,0.28113,0.20637,0.80524,0.0003566,0.0003566,0.0003566
85,525.618,0.363,0.35551,0.26242,0.78167,0.99968,1,0.995,0.95816,0.99968,1,0.995,0.65928,0.31295,0.29067,0.20278,0.80362,0.0003368,0.0003368,0.0003368
86,531.859,0.36338,0.34233,0.26119,0.77812,0.99968,1,0.995,0.95928,0.99968,1,0.995,0.66566,0.3048,0.2843,0.19684,0.80278,0.000317,0.000317,0.000317
87,537.473,0.35638,0.33289,0.25435,0.7794,0.99968,1,0.995,0.95995,0.99968,1,0.995,0.66592,0.2936,0.27247,0.19398,0.80301,0.0002972,0.0002972,0.0002972
88,544.178,0.35837,0.33619,0.25211,0.78161,0.99969,1,0.995,0.95578,0.99969,1,0.995,0.66947,0.30272,0.27137,0.18984,0.80323,0.0002774,0.0002774,0.0002774
89,549.731,0.35548,0.34831,0.25229,0.7796,0.99968,1,0.995,0.95312,0.99968,1,0.995,0.67555,0.30701,0.2756,0.18992,0.80387,0.0002576,0.0002576,0.0002576
90,555.487,0.35796,0.3324,0.25373,0.77951,0.99968,1,0.995,0.94774,0.99968,1,0.995,0.67236,0.31648,0.27629,0.19479,0.80422,0.0002378,0.0002378,0.0002378
91,564.075,0.36288,0.37207,0.29794,0.77383,0.99966,1,0.995,0.96095,0.99966,1,0.995,0.66075,0.28503,0.23299,0.19021,0.80119,0.000218,0.000218,0.000218
92,569.138,0.35087,0.33738,0.27829,0.77446,0.99964,1,0.995,0.94571,0.99964,1,0.995,0.66978,0.30795,0.23497,0.20727,0.80291,0.0001982,0.0001982,0.0001982
